# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
# Start; Time = 0.00000000
         16.53654934      -1.61648472e-13     8.991800274885e-04     1.613323992046e-03     8.124826706535e-06
         17.36337680      -7.99360578e-14     1.074569853870e-03     1.928011385473e-03     9.709758046483e-06
         18.19020427      -3.73034936e-14     1.256424556004e-03     2.254298164928e-03     1.135307985578e-05
         19.01703174       1.52766688e-13     1.439623196006e-03     2.582996267904e-03     1.300848487062e-05
         19.84385921      -1.74082970e-13     1.619892063445e-03     2.906437712227e-03     1.463739215524e-05
         20.67068667      -2.13162821e-14     1.794031687382e-03     3.218881974476e-03     1.621087773174e-05
         21.49751414      -1.95399252e-14     1.959213143493e-03     3.515253333205e-03     1.770343124008e-05
         22.32434161       1.86517468e-13     2.112605215871e-03     3.790471989021e-03     1.908946080675e-05
         23.15116907      -1.19015908e-13     2.251288073694e-03     4.039299109365e-03     2.034261711970e-05
         23.97799654       8.70414851e-14     2.371783472427e-03     4.255493998301e-03     2.143143143485e-05
         24.80482401       5.50670620e-14     2.469618249677e-03     4.431030809428e-03     2.231549518683e-05
         25.63165147      -2.29150032e-13     2.539775939795e-03     4.556908915959e-03     2.294946455095e-05
         26.45847894      -5.15143483e-14     2.577638709397e-03     4.624842944793e-03     2.329158525072e-05
         27.28530641       9.59232693e-14     2.579292371479e-03     4.627809980718e-03     2.330651960847e-05
         28.11213387       1.38555833e-13     2.541137348601e-03     4.559351595731e-03     2.296174909588e-05
         28.93896134      -2.52242671e-13     2.459714893519e-03     4.413262037758e-03     2.222603745849e-05
         29.76578881      -1.03028697e-13     2.332009679776e-03     4.184131189277e-03     2.107209792257e-05
         30.59261627      -2.54019028e-13     2.155578400277e-03     3.867575202548e-03     1.947789053247e-05
         31.41944374      -1.10134124e-13     1.928256286760e-03     3.459710026164e-03     1.742382659131e-05
         32.24627121      -2.46913601e-13     1.648097955240e-03     2.957045206415e-03     1.489234512064e-05
         33.07309868       2.66453526e-14     1.313953241493e-03     2.357517120856e-03     1.187302132166e-05
         33.89992614      -1.04805054e-13     9.259974074212e-04     1.661440201872e-03     8.367479836124e-06
         34.72675361       2.18491891e-13     4.854695494032e-04     8.710376815202e-04     4.386892271668e-06
         35.55358108       5.50670620e-14    -5.937197897765e-06    -1.065261920985e-05    -5.345856379790e-08
         36.38040854      -9.59232693e-14    -5.460671986839e-04    -9.797630039543e-04    -4.934166497605e-06
         37.20723601       7.99360578e-14    -1.131697503922e-03    -2.030510790860e-03    -1.022602691592e-05
         38.03406348       1.38555833e-13    -1.758218580164e-03    -3.154625495654e-03    -1.588727980106e-05
         38.86089094       7.10542736e-15    -2.419936769456e-03    -4.341891465231e-03    -2.186651261127e-05
         39.68771841       1.03028697e-13    -3.110422718578e-03    -5.580773028726e-03    -2.810569162648e-05
         40.51454588       1.24344979e-14    -3.822404200605e-03    -6.858222242499e-03    -3.453910892404e-05
         41.34137334      -1.59872116e-14    -4.547425657904e-03    -8.159067995336e-03    -4.109036802902e-05
         42.16820081       1.08357767e-13    -5.275763256066e-03    -9.465863625167e-03    -4.767160260144e-05
         42.99502828      -8.17124146e-14    -5.996681925751e-03    -1.075934809808e-02    -5.418579178240e-05
         43.82185574      -1.35003120e-13    -6.698737610066e-03    -1.201898827867e-02    -6.052953949620e-05
         44.64868321      -1.77635684e-13    -7.369921121949e-03    -1.322323708393e-02    -6.659433074674e-05
         45.47551068       3.55271368e-15    -7.997725996745e-03    -1.434965520110e-02    -7.226716161313e-05
         46.30233815      -9.94759830e-14    -8.569288930005e-03    -1.537516308451e-02    -7.743178713326e-05
         47.12916561      -1.77635684e-15    -9.071614229356e-03    -1.627644362600e-02    -8.197079745287e-05
         47.95599308       1.42108547e-13    -9.491790575566e-03    -1.703033112625e-02    -8.576752196632e-05
         48.78282055       2.23820962e-13    -9.817171358463e-03    -1.761413482461e-02    -8.870767027247e-05
         49.60964801      -1.03028697e-13    -1.003559798659e-02    -1.800603958583e-02    -9.068136046153e-05
         50.43647548      -4.79616347e-14    -1.013565560743e-02    -1.818556465940e-02    -9.158548164123e-05
         51.26330295       2.00728323e-13    -1.010681721198e-02    -1.813382231609e-02    -9.132490515640e-05
         52.09013041      -1.26121336e-13    -9.939548394186e-03    -1.783370578272e-02    -8.981345183656e-05
         52.91695788      -1.59872116e-14    -9.625646746485e-03    -1.727049813559e-02    -8.697704907945e-05
