# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
# Start; Time = 0.00000000
          0.00000000       3.19744231e-14    -4.206412995700e-11     1.375610736432e-11    -1.193711796077e-12
          0.82682747      -2.30926389e-13    -1.501798825245e-04    -1.081990715761e-04    -1.234346998444e-04
          1.65365493      -1.03028697e-13    -5.413744027010e-04    -3.900404312276e-04    -4.449623996834e-04
          2.48048240      -3.19744231e-14    -1.049008091968e-03    -7.557719565625e-04    -8.621929180777e-04
          3.30730987      -2.18491891e-13    -1.577726664095e-03    -1.136694365925e-03    -1.296753362453e-03
          4.13413733       4.26325641e-14    -2.088660554421e-03    -1.504803566149e-03    -1.716696355857e-03
          4.96096480       3.90798505e-14    -2.565763852743e-03    -1.848539059097e-03    -2.108833559362e-03
          5.78779227       7.10542736e-15    -2.995142889347e-03    -2.157890964611e-03    -2.461745592029e-03
          6.61461974      -1.31450406e-13    -3.364721144465e-03    -2.424158590713e-03    -2.765506607773e-03
          7.44144720      -2.13162821e-14    -3.662051836471e-03    -2.638374489948e-03    -3.009886443806e-03
          8.26827467      -2.73558953e-13    -3.874403271254e-03    -2.791365938208e-03    -3.184420759396e-03
          9.09510214       0.00000000e+00    -3.993264142991e-03    -2.877000856756e-03    -3.282114009323e-03
          9.92192960      -1.42108547e-14    -4.012886394264e-03    -2.891137974018e-03    -3.298241786354e-03
         10.74875707      -1.10134124e-13    -3.926307267108e-03    -2.828760877833e-03    -3.227081314378e-03
         11.57558454      -1.91846539e-13    -3.727684171821e-03    -2.685660199063e-03    -3.063830495762e-03
         12.40241200      -9.23705556e-14    -3.415024188797e-03    -2.460400112341e-03    -2.806851326682e-03
         13.22923947       1.19015908e-13    -2.985411502976e-03    -2.150879878400e-03    -2.453747261370e-03
         14.05606694      -2.55795385e-13    -2.427667806700e-03    -1.749045929159e-03    -1.995330702471e-03
         14.88289440      -1.59872116e-14    -1.722398454376e-03    -1.240925143350e-03    -1.415660955161e-03
         15.70972187      -2.52242671e-13    -8.513155511594e-04    -6.133417508067e-04    -6.997069649515e-04
         16.53654934      -1.47437618e-13     1.929119131319e-04     1.389859661458e-04     1.585567146094e-04
         17.36337680      -1.24344979e-14     1.404083060606e-03     1.011590504788e-03     1.154033507589e-03
         18.19020427       6.92779167e-14     2.764314606679e-03     1.991587612508e-03     2.272024916294e-03
         19.01703174       2.30926389e-14     4.246917801623e-03     3.059749023009e-03     3.490595125982e-03
         19.84385921      -2.18491891e-13     5.823620581424e-03     4.195705746326e-03     4.786506965388e-03
         20.67068667       3.55271368e-14     7.473013549088e-03     5.384033087580e-03     6.142163781078e-03
         21.49751414       1.31450406e-13     9.180297096833e-03     6.614068476949e-03     7.545401594029e-03
         22.32434161      -2.39808173e-13     1.093027826957e-02     7.874865949361e-03     8.983733123387e-03
         23.15116907      -3.55271368e-14     1.270348162862e-02     9.152394155592e-03     1.044115125859e-02
         23.97799654      -6.03961325e-14     1.447464501391e-02     1.042845263532e-02     1.189689271217e-02
         24.80482401      -1.15463195e-13     1.620974558011e-02     1.167852917087e-02     1.332299368249e-02
         25.63165147       7.10542736e-14     1.786670602519e-02     1.287230860481e-02     1.468487030354e-02
         26.45847894      -3.37507799e-14     1.940153401480e-02     1.397809607209e-02     1.594636472566e-02
         27.28530641       6.39488462e-14     2.077247370212e-02     1.496580800494e-02     1.707315729044e-02
         28.11213387      -9.76996262e-14     2.193997646515e-02     1.580695107333e-02     1.803274249141e-02
         28.93896134       6.21724894e-14     2.286637099775e-02     1.647438447338e-02     1.879415780445e-02
         29.76578881      -9.94759830e-14     2.351433202517e-02     1.694121671204e-02     1.932672511998e-02
         30.59261627       2.46913601e-13     2.384380341991e-02     1.717858880625e-02     1.959752180107e-02
         31.41944374       1.13686838e-13     2.381328029099e-02     1.715659801062e-02     1.957243446151e-02
         32.24627121       1.03028697e-13     2.338569410446e-02     1.684853779329e-02     1.922099599852e-02
         33.07309868      -8.52651283e-14     2.253061822364e-02     1.623248687849e-02     1.851819838345e-02
         33.89992614       3.73034936e-14     2.122142258185e-02     1.528925927232e-02     1.744215402607e-02
         34.72675361       1.06581410e-14     1.943501338965e-02     1.400221674777e-02     1.597388185047e-02
         35.55358108       1.06581410e-14     1.715569825217e-02     1.236005350711e-02     1.410048408292e-02
         36.38040854       1.08357767e-13     1.437677167382e-02     1.035793848598e-02     1.181644939106e-02
         37.20723601       1.77635684e-14     1.109820816990e-02     7.995853324815e-03     9.121756831121e-03
         38.03406348       1.84741111e-13     7.325795087922e-03     5.277967589279e-03     6.021163089315e-03
         38.86089094      -1.06581410e-14     3.074069049745e-03     2.214754391332e-03     2.526616005980e-03
         39.68771841      -2.30926389e-13    -1.631134304887e-03    -1.175172634191e-03    -1.340649785163e-03
         40.51454588      -1.58095759e-13    -6.753996141185e-03    -4.866007331827e-03    -5.551194336306e-03
         41.34137334       1.97175609e-13    -1.225041037955e-02    -8.825972886200e-03    -1.006876630498e-02
         42.16820081      -9.76996262e-14    -1.806501460081e-02    -1.301518268696e-02    -1.484786261636e-02
         42.99502828      -1.36779477e-13    -2.412734318500e-02    -1.738286883648e-02    -1.983056669900e-02
         43.82185574       5.32907052e-15    -3.035539562046e-02    -2.186995296552e-02    -2.494948129845e-02
         44.64868321       1.63424829e-13    -3.666348759552e-02    -2.641470265985e-02    -3.013418140080e-02
         45.47551068      -7.10542736e-15    -4.296269779587e-02    -3.095305335631e-02    -3.531158145842e-02
         46.30233815       3.55271368e-15    -4.915446875196e-02    -3.541399800315e-02    -4.040067585254e-02
         47.12916561       2.66453526e-14    -5.512935049407e-02    -3.971868189893e-02    -4.531150627633e-02
         47.95599308       1.65201186e-13    -6.077227786926e-02    -4.378420481169e-02    -4.994949923343e-02
         48.78282055       1.65201186e-13    -6.596541145620e-02    -4.752566774232e-02    -5.421780102057e-02
         49.60964801      -5.32907052e-14    -7.058853713679e-02    -5.085646080545e-02    -5.801760614048e-02
         50.43647548      -7.10542736e-15    -7.452321707601e-02    -5.369125387836e-02    -6.125156905063e-02
         51.26330295      -1.77635684e-15    -7.765765705724e-02    -5.594950331448e-02    -6.382780467897e-02
         52.09013041      -1.45661261e-13    -7.988651883807e-02    -5.755531675754e-02    -6.565973419885e-02
         52.91695788       9.41469125e-14    -8.110931235836e-02    -5.843629479455e-02    -6.666476356889e-02
         53.74378535       1.59872116e-13    -8.123233875426e-02    -5.852493081755e-02    -6.676588051198e-02
         54.57061281      -1.50990331e-13    -8.017199715317e-02    -5.776099345229e-02    -6.589437241905e-02
         55.39744028       1.88293825e-13    -7.785716795451e-02    -5.609324363303e-02    -6.399178520189e-02
         56.22426775       1.84741111e-13    -7.423213215867e-02    -5.348153784485e-02    -6.101232270566e-02
         57.05109521       1.35003120e-13    -6.925977000932e-02    -4.989913266803e-02    -5.692547574000e-02
         57.87792268      -7.10542736e-14    -6.292312898458e-02    -4.533381442951e-02    -5.171731081589e-02
         58.70475015      -1.40332190e-13    -5.522600698961e-02    -3.978831938190e-02    -4.539094947586e-02
         59.53157762      -3.39284156e-13    -4.619407166066e-02    -3.328114011691e-02    -3.796748827250e-02
         60.35840508       7.63833441e-14    -3.587614456239e-02    -2.584745079457e-02    -2.948705426815e-02
         61.18523255      -2.62900812e-13    -2.434508468858e-02    -1.753974364607e-02    -2.000953118051e-02
         62.01206002      -2.13162821e-13    -1.169875425188e-02    -8.428524823671e-03    -9.615353200900e-03
         62.83888748      -8.34887715e-14     1.939150152481e-03     1.397086799557e-03     1.593811888313e-03
         63.66571495       3.55271368e-14     1.642007148871e-02     1.183006130964e-02     1.349586319594e-02
         64.49254242      -1.24344979e-13     3.157411769365e-02     2.274799768406e-02     2.595116429939e-02
         65.31936988       2.25597319e-13     4.721387177827e-02     3.401586882615e-02     3.880567481235e-02
         66.14619735       9.76996262e-14     6.313583024243e-02     4.548705791132e-02     5.189213265282e-02
         66.97302482      -3.90798505e-14     7.912055881749e-02     5.700347056467e-02     6.503018203574e-02
         67.79985228      -3.90798505e-14     9.493455330033e-02     6.839687554583e-02     7.802790292175e-02
         68.62667975       7.10542736e-15     1.103338126012e-01     7.949147899126e-02     9.068474774978e-02
         69.45350722      -7.99360578e-14     1.250672471625e-01     9.010638004935e-02     1.027943428539e-01
         70.28033469       4.08562073e-14     1.388802192391e-01     1.000581215302e-01     1.141473982675e-01
         71.10716215       6.75015599e-14     1.515194045826e-01     1.091641925771e-01     1.245357036068e-01
         71.93398962      -1.31450406e-13     1.627379728455e-01     1.172467609454e-01     1.337563859094e-01
         72.76081709      -1.77635684e-15     1.722995782590e-01     1.241355481388e-01     1.416151896094e-01
         73.58764455      -1.42108547e-13     1.799817695922e-01     1.296702861887e-01     1.479292792502e-01
         74.41447202       9.41469125e-14     1.855800979344e-01     1.337036771227e-01     1.525306156974e-01
