# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
# Start; Time = 0.00000000
          0.00000000      -1.01252340e-13     4.149569576839e-12    -9.094947017729e-13    -1.692228579486e-10
          0.82682747       6.03961325e-14    -3.129157801141e-05    -5.614388550157e-05    -2.829152663253e-07
          1.65365493       2.13162821e-13    -1.122071432746e-04    -2.013239542293e-04    -1.014046119963e-06
          2.48048240      -5.32907052e-14    -2.159135799502e-04    -3.873958026475e-04    -1.951095100594e-06
          3.30730987      -2.50466314e-13    -3.233020050288e-04    -5.800739348842e-04    -2.921417944890e-06
          4.13413733       4.12114787e-13    -4.283976107331e-04    -7.686382283509e-04    -3.871057231208e-06
          4.96096480       1.90070182e-13    -5.291201179034e-04    -9.493562591274e-04    -4.781154245848e-06
          5.78779227      -7.28306304e-14    -6.229462785541e-04    -1.117700748011e-03    -5.628937685742e-06
          6.61461974       4.61852778e-14    -7.085700524954e-04    -1.271328368091e-03    -6.402620840618e-06
          7.44144720       2.66453526e-13    -7.853877898469e-04    -1.409156043280e-03    -7.096736567291e-06
          8.26827467      -5.15143483e-14    -8.514185525996e-04    -1.527629561792e-03    -7.693365489558e-06
          9.09510214       7.46069873e-14    -9.033907468279e-04    -1.620878951258e-03    -8.162978645032e-06
          9.92192960      -5.15143483e-14    -9.383047984102e-04    -1.683522335156e-03    -8.478447227844e-06
         10.74875707       4.26325641e-14    -9.545666551389e-04    -1.712699632890e-03    -8.625386044514e-06
         11.57558454       1.06581410e-14    -9.517067738329e-04    -1.707568386337e-03    -8.599534794484e-06
         12.40241200      -1.82964754e-13    -9.287594861576e-04    -1.666395979896e-03    -8.392170968818e-06
         13.22923947      -6.03961325e-14    -8.831756852032e-04    -1.584608748090e-03    -7.980276109265e-06
         14.05606694       1.65201186e-13    -8.113404931009e-04    -1.455720823060e-03    -7.331178721870e-06
         14.88289440       8.52651283e-14    -7.092727017834e-04    -1.272589069629e-03    -6.408890385501e-06
         15.70972187       1.47437618e-13    -5.729588093573e-04    -1.028012378072e-03    -5.177165121495e-06
         16.53654934      -3.62376795e-13    -3.995823504397e-04    -7.169374174509e-04    -3.610527528508e-06
         17.36337680       2.04281037e-13    -1.892821380238e-04    -3.396132058811e-04    -1.710288813683e-06
         18.19020427      -7.46069873e-14     5.457576406798e-05     9.792075508130e-05     4.932051069773e-07
         19.01703174       2.85993451e-13     3.270316692010e-04     5.867657571912e-04     2.955085619760e-06
         19.84385921       5.32907052e-15     6.235128308845e-04     1.118717266820e-03     5.634082754113e-06
         20.67068667      -9.76996262e-14     9.406842505086e-04     1.687791589006e-03     8.500028741310e-06
         21.49751414      -9.94759830e-14     1.276019856277e-03     2.289456398955e-03     1.153010396138e-05
         22.32434161       1.47437618e-13     1.626983206222e-03     2.919160777367e-03     1.470138272452e-05
         23.15116907      -1.70530257e-13     1.990407761355e-03     3.571223254085e-03     1.798528103336e-05
         23.97799654      -5.86197757e-14     2.361844397171e-03     4.237661145112e-03     2.134155624844e-05
         24.80482401      -7.63833441e-14     2.735000597397e-03     4.907184307626e-03     2.471337654697e-05
         25.63165147      -1.58095759e-13     3.102023149324e-03     5.565702375350e-03     2.802977445526e-05
         26.45847894      -1.77635684e-13     3.454592583978e-03     6.198288420535e-03     3.121557307395e-05
         27.28530641      -7.10542736e-15     3.784772294409e-03     6.790702444562e-03     3.419905124247e-05
         28.11213387      -6.28830321e-13     4.084911875793e-03     7.329217936103e-03     3.691111612625e-05
         28.93896134      -4.26325641e-14     4.347024600975e-03     7.799505036758e-03     3.927952957383e-05
         29.76578881      -1.97175609e-13     4.562592691229e-03     8.186280944642e-03     4.122739329659e-05
         30.59261627      -3.44613227e-13     4.723051628616e-03     8.474179076359e-03     4.267729457297e-05
         31.41944374      -3.90798505e-14     4.820149371028e-03     8.648393494980e-03     4.355465273420e-05
         32.24627121       2.11386464e-13     4.845793925142e-03     8.694405392475e-03     4.378636418778e-05
         33.07309868      -3.60600438e-13     4.792212980078e-03     8.598269542631e-03     4.330222481030e-05
         33.89992614       2.52242671e-13     4.652717842987e-03     8.347985029047e-03     4.204172773825e-05
         34.72675361       1.59872116e-14     4.422061593516e-03     7.934137678888e-03     3.995753354502e-05
         35.55358108       3.19744231e-14     4.096045233723e-03     7.349193614516e-03     3.701166133396e-05
         36.38040854      -1.45661261e-13     3.671291351452e-03     6.587093010921e-03     3.317360602750e-05
         37.20723601      -1.35003120e-13     3.145569141282e-03     5.643833333238e-03     2.842319844376e-05
         38.03406348      -5.32907052e-14     2.518201030625e-03     4.518198862968e-03     2.275432331089e-05
         38.86089094      -1.59872116e-14     1.790351890747e-03     3.212279627405e-03     1.617750967853e-05
         39.68771841      -1.66977543e-13     9.651504316253e-04     1.731689210715e-03     8.721028677883e-06
         40.51454588       8.88178420e-14     4.753180064654e-05     8.528235878202e-05     4.294548716643e-07
         41.34137334       1.15463195e-13    -9.557402119071e-04    -1.714805248241e-03    -8.636063910217e-06
         42.16820081      -2.07833750e-13    -2.035505683978e-03    -3.652138723055e-03    -1.839276239934e-05
         42.99502828       3.58824082e-13    -3.179877566822e-03    -5.705390089986e-03    -2.873327207453e-05
         43.82185574      -1.24344979e-13    -4.374786453468e-03    -7.849315826093e-03    -3.953039782800e-05
         44.64868321       3.60600438e-13    -5.604578601378e-03    -1.005582967701e-02    -5.064275853783e-05
         45.47551068      -1.24344979e-13    -6.851914192737e-03    -1.229382030232e-02    -6.191360841967e-05
         46.30233815       8.52651283e-14    -8.097585127530e-03    -1.452882415293e-02    -7.316943811020e-05
         47.12916561       1.79412041e-13    -9.320812172064e-03    -1.672355879498e-02    -8.422246423834e-05
         47.95599308       9.41469125e-14    -1.049959449483e-02    -1.883854997186e-02    -9.487387961826e-05
         48.78282055       1.86517468e-13    -1.161088518131e-02    -2.083244650612e-02    -1.049154490715e-04
         49.60964801       1.22568622e-13    -1.263095223976e-02    -2.266266806953e-02    -1.141327224445e-04
         50.43647548       1.06581410e-13    -1.353591607852e-02    -2.428636948832e-02    -1.223099296794e-04
         51.26330295      -1.22568622e-13    -1.430214861125e-02    -2.566115686102e-02    -1.292335587664e-04
         52.09013041       1.24344979e-13    -1.490659160544e-02    -2.674565869444e-02    -1.346952795416e-04
         52.91695788       5.50670620e-14    -1.532718070212e-02    -2.750028676326e-02    -1.384956955235e-04
         53.74378535       8.88178420e-14    -1.554339602359e-02    -2.788822395274e-02    -1.404494061603e-04
         54.57061281      -1.29674049e-13    -1.553693092637e-02    -2.787662417848e-02    -1.403909774353e-04
         55.39744028       3.67705866e-13    -1.529226545517e-02    -2.743764124381e-02    -1.381802032938e-04
         56.22426775      -1.50990331e-13    -1.479688046891e-02    -2.654881313913e-02    -1.337039043392e-04
         57.05109521       1.24344979e-13    -1.404142855063e-02    -2.519336851890e-02    -1.268776844086e-04
         57.87792268      -6.92779167e-14    -1.302028853917e-02    -2.336122184568e-02    -1.176507012133e-04
         58.70475015      -3.19744231e-13    -1.173215443237e-02    -2.105002986201e-02    -1.060111694642e-04
         59.53157762      -2.30926389e-14    -1.018019237267e-02    -1.826547328932e-02    -9.198771829233e-05
         60.35840508      -2.14939178e-13    -8.372043073109e-03    -1.502126124865e-02    -7.564935884830e-05
         61.18523255       2.07833750e-13    -6.320010459149e-03    -1.133946962199e-02    -5.710730135888e-05
         62.01206002      -1.77635684e-14    -4.041236626733e-03    -7.250855091854e-03    -3.651639951840e-05
         62.83888748       3.55271368e-14    -1.557638954012e-03    -2.794742159779e-03    -1.407472677784e-05
         63.66571495       2.48689958e-14     1.104304794637e-03     1.981362326433e-03     9.978474338368e-06
         64.49254242       2.13162821e-14     3.913720423498e-03     7.022063349041e-03     3.536422639172e-05
         65.31936988       8.88178420e-14     6.835415351020e-03     1.226421778512e-02     6.176452330919e-05
