# DipoleMomentWriter[version=1](center=False, density='comp')
#            time            norm                    dmx                    dmy                    dmz
# Start; Time = 0.00000000
          0.00000000       1.22568622e-13    -2.705746737774e-11    -3.672084858408e-11    -4.126832209295e-11
          0.82682747      -3.73034936e-14    -5.375081440206e-05    -3.015905125494e-04    -2.725732171598e-04
          1.65365493       1.59872116e-14    -1.898998143588e-04    -1.065509354476e-03    -9.629921830197e-04
          2.48048240       1.01252340e-13    -3.588683907765e-04    -2.013575651233e-03    -1.819840995211e-03
          3.30730987       2.50466314e-13    -5.267092777785e-04    -2.955314574365e-03    -2.670971220653e-03
          4.13413733       1.74082970e-13    -6.807175554400e-04    -3.819440119173e-03    -3.451955576111e-03
          4.96096480      -6.57252031e-14    -8.142059659804e-04    -4.568430686334e-03    -4.128882578016e-03
          5.78779227      -1.98951966e-13    -9.222753470794e-04    -5.174797531026e-03    -4.676908296858e-03
          6.61461974       1.26121336e-13    -1.003139517422e-03    -5.628518518279e-03    -5.086974858557e-03
          7.44144720       1.49213975e-13    -1.054667607093e-03    -5.917637642938e-03    -5.348276606355e-03
          8.26827467       1.29674049e-13    -1.073223993103e-03    -6.021755729932e-03    -5.442377048269e-03
          9.09510214       1.52766688e-13    -1.056022525972e-03    -5.925239969486e-03    -5.355147479690e-03
          9.92192960      -2.84217094e-13    -1.000962792318e-03    -5.616305225828e-03    -5.075936659409e-03
         10.74875707       9.41469125e-14    -9.060588384386e-04    -5.083808269944e-03    -4.594673496740e-03
         11.57558454       6.21724894e-14    -7.709938936387e-04    -4.325971973515e-03    -3.909751843821e-03
         12.40241200       7.63833441e-14    -5.968210425635e-04    -3.348705004726e-03    -3.026511875760e-03
         13.22923947       3.19744231e-14    -3.830923437818e-04    -2.149494023740e-03    -1.942682075253e-03
         14.05606694       1.26121336e-13    -1.265320715333e-04    -7.099592021405e-04    -6.416510104827e-04
         14.88289440      -2.06057393e-13     1.773790429525e-04     9.952565380331e-04     8.994986832249e-04
         15.70972187       3.17967874e-13     5.318785412101e-04     2.984318926053e-03     2.697184934732e-03
         16.53654934       2.80664381e-13     9.373187760389e-04     5.259204752349e-03     4.753194339060e-03
         17.36337680      -1.95399252e-13     1.390467468923e-03     7.801778037049e-03     7.051135855704e-03
         18.19020427      -5.32907052e-15     1.883821609624e-03     1.056994031160e-02     9.552961482257e-03
         19.01703174      -2.52242671e-13     2.406415316727e-03     1.350216288154e-02     1.220306247563e-02
         19.84385921      -1.33226763e-13     2.947450135082e-03     1.653785678803e-02     1.494667938653e-02
         20.67068667      -3.14415161e-13     3.498883290604e-03     1.963189469450e-02     1.774302677183e-02
         21.49751414       2.50466314e-13     4.053878509922e-03     2.274591914170e-02     2.055743770228e-02
         22.32434161       1.79412041e-13     4.604967272144e-03     2.583802475016e-02     2.335203870496e-02
         23.15116907       1.90070182e-13     5.144517658209e-03     2.886538965009e-02     2.608812797553e-02
         23.97799654       7.28306304e-14     5.664096868941e-03     3.178069818074e-02     2.872294230184e-02
         24.80482401      -3.46389584e-13     6.152114991380e-03     3.451892046024e-02     3.119770859712e-02
         25.63165147       1.42108547e-14     6.593680822846e-03     3.699650359596e-02     3.343691293639e-02
         26.45847894       6.03961325e-14     6.973047820566e-03     3.912509505403e-02     3.536070356819e-02
         27.28530641      -1.29674049e-13     7.275719435086e-03     4.082335609343e-02     3.689556770439e-02
         28.11213387       4.97379915e-13     7.489194815321e-03     4.202114582870e-02     3.797811300160e-02
         28.93896134      -4.61852778e-14     7.602496183495e-03     4.265686871577e-02     3.855267029161e-02
         29.76578881      -2.71782596e-13     7.604919788832e-03     4.267046732485e-02     3.856496052379e-02
         30.59261627       1.33226763e-13     7.485577170030e-03     4.200084754507e-02     3.795976771039e-02
         31.41944374      -6.21724894e-14     7.234038539707e-03     4.058948863866e-02     3.668420163513e-02
         32.24627121      -1.56319402e-13     6.840737339644e-03     3.838271373360e-02     3.468974991017e-02
         33.07309868      -9.94759830e-14     6.297280012745e-03     3.533342740099e-02     3.193384835976e-02
         33.89992614      -2.00728323e-13     5.597416570538e-03     3.140656147980e-02     2.838480287812e-02
         34.72675361      -2.16715534e-13     4.737692791991e-03     2.658273471656e-02     2.402509696623e-02
         35.55358108       4.84945417e-13     3.717213455047e-03     2.085692428034e-02     1.885019106152e-02
         36.38040854      -1.77635684e-13     2.537563907254e-03     1.423802497686e-02     1.286812416134e-02
         37.20723601       3.37507799e-14     1.203147065723e-03     6.750741517294e-03     6.101224021450e-03
         38.03406348       1.03028697e-13    -2.788105207401e-04    -1.564378769217e-03    -1.413863251287e-03
         38.86089094       1.42108547e-14    -1.898517817835e-03    -1.065239934650e-02    -9.627486791089e-03
         39.68771841       5.15143483e-14    -3.643467604718e-03    -2.044314336581e-02    -1.847622176655e-02
         40.51454588      -7.06990022e-13    -5.497678397660e-03    -3.084694044333e-02    -2.787902535783e-02
         41.34137334       7.46069873e-14    -7.440969350114e-03    -4.175055735863e-02    -3.773355900211e-02
         42.16820081       6.57252031e-14    -9.449294844785e-03    -5.301907691535e-02    -4.791788645315e-02
         42.99502828       2.55795385e-13    -1.149600844587e-02    -6.450298840275e-02    -5.829688206950e-02
         43.82185574      -1.68753900e-13    -1.355258461945e-02    -7.604223794863e-02    -6.872589143381e-02
         44.64868321      -7.28306304e-14    -1.558832855432e-02    -8.746459970342e-02    -7.904925927818e-02
         45.47551068      -1.95399252e-14    -1.757015125543e-02    -9.858441464308e-02    -8.909918961626e-02
